year	month	day	lon	lat	value	unit	var
2017	10	13	-84.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-84.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-83.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.29166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.20833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.125	30.45833397	NA	chla	mg m^-3
2017	10	13	-82.04166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.95833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.875	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.79166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.70833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.625	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.54166412	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.45833588	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.375	30.45833397	NA	chla	mg m^-3
2017	10	13	-81.29166412	30.45833397	4.873543262	chla	mg m^-3
2017	10	13	-81.20833588	30.45833397	4.094147205	chla	mg m^-3
2017	10	13	-81.125	30.45833397	3.316160202	chla	mg m^-3
2017	10	13	-81.04166412	30.45833397	2.967467785	chla	mg m^-3
2017	10	13	-97.95833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.875	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.79166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.70833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.625	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.54166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.45833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.375	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.29166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.20833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.125	30.37499809	NA	chla	mg m^-3
2017	10	13	-97.04166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.95833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.875	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.79166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.70833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.625	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.54166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.45833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.375	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.29166412	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.20833588	30.37499809	NA	chla	mg m^-3
2017	10	13	-96.125	30.37499809	NA	chla	mg m^-3
